Company,Domain,Website,City,State,Trade,Revenue,Employees,Industry,Lifecycle Status,Qualification Decision,Qualification Reason,Fit Score,First Seen,Last Reviewed,Next Review,Approved At,HubSpot Company ID,Sequence Status,Meeting Status,Customer Status,Source Profile,Notes
Hawx,hawxpestcontrol.com,www.hawxpestcontrol.com,Ogden,Utah,Pest Control,188134000,918,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,86.0,2026-07-13T22:01:10.774781+00:00,2026-07-13T22:01:10.774781+00:00,,,,,,,Default,
Hayes Mechanical,hayesmechanical.com,www.hayesmechanical.com,Chicago,Illinois,Plumbing,454478000,714,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:38:49.512184+00:00,2026-07-13T21:38:49.512184+00:00,2027-01-09T21:38:49.512200+00:00,,,,,,Default,
Hb Global,hb-global.com,www.hb-global.com,Harrisburg,Pennsylvania,Plumbing,150000000,797,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54037380025; source all-companies.csv).,0.0,2026-07-13T21:40:03.696942+00:00,2026-07-13T21:40:03.696942+00:00,,,,,,,Default,
Heating & Plumbing Engineers,hpeinc.com,www.hpeinc.com,Colorado Springs,Colorado,Plumbing,148620000,292,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39396600099; source all-companies.csv).,0.0,2026-07-13T21:40:22.016281+00:00,2026-07-13T21:40:22.016281+00:00,,,,,,,Default,
Hermanson Company,hermanson.com,www.hermanson.com,Kent,Washington,Plumbing,132973000,446,,Rejected,REJECT,State outside target geography: Washington,0.0,2026-07-13T21:40:39.464941+00:00,2026-07-13T21:40:39.464941+00:00,2027-01-09T21:40:39.464950+00:00,,,,,,Default,
Hi-Tech Electric,hitechelectric.com,www.hitechelectric.com,Pasadena,Texas,Electrical,72470000,335,,Rejected,REJECT,revenue $25M+ | target employee scale | excluded business-model evidence,0.0,2026-07-13T21:56:18.179305+00:00,2026-07-13T21:56:18.179305+00:00,2027-01-09T21:56:18.179319+00:00,,,,,,Default,
"Hiller Plumbing, Heating, Cooling & Electrical",happyhiller.com,www.happyhiller.com,Nashville,Tennessee,Plumbing,330993000,520,,Rejected,REJECT,State outside target geography: Tennessee,0.0,2026-07-13T21:38:49.574779+00:00,2026-07-13T21:38:49.574779+00:00,2027-01-09T21:38:49.574793+00:00,,,,,,Default,
Home Paramount Pest Control,homeparamount.com,www.homeparamount.com,Forest Hill,Maryland,Pest Control,94659000,473,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T22:02:54.279313+00:00,2026-07-13T22:02:54.279313+00:00,2027-01-09T22:02:54.279326+00:00,,,,,,Default,
Hooper,hoopercorp.com,www.hoopercorp.com,Davie,Florida,Plumbing,194066000,562,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:38:49.698278+00:00,2026-07-13T21:38:49.698278+00:00,2027-01-09T21:38:49.698294+00:00,,,,,,Default,
Horizon Services,horizonservices.com,www.horizonservices.com,Wilmington,Delaware,Plumbing,381915000,600,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54896185104; source all-companies.csv).,0.0,2026-07-13T21:38:49.541511+00:00,2026-07-13T21:38:49.541511+00:00,,,,,,,Default,
Howe,howeinc.com,www.howeinc.com,Sioux Falls,South Dakota,Plumbing,122212000,119,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54800925549; source all-companies.csv).,0.0,2026-07-13T21:40:54.660038+00:00,2026-07-13T21:40:54.660038+00:00,,,,,,,Default,
Humphrey & Associates,teamhumphrey.com,www.teamhumphrey.com,Carrollton,Texas,Electrical,254610000,400,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,31.0,2026-07-13T21:51:31.676693+00:00,2026-07-13T21:51:31.676693+00:00,2027-01-09T21:51:31.676705+00:00,,,,,,Default,
Hunt Electric,huntelectric.com,www.huntelectric.com,Salt Lake City,Utah,Electrical,253458000,600,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,34.0,2026-07-13T21:51:54.576076+00:00,2026-07-13T21:51:54.576076+00:00,2027-01-09T21:51:54.576088+00:00,,,,,,Default,
Hurckman Mechanical Industries,hurckman.com,www.hurckman.com,Green Bay,Wisconsin,Plumbing,85931000,135,,Rejected,REJECT,State outside target geography: Wisconsin,0.0,2026-07-13T21:42:17.561285+00:00,2026-07-13T21:42:17.561285+00:00,2027-01-09T21:42:17.561300+00:00,,,,,,Default,
Huston Electric,hustonelectric.com,www.hustonelectric.com,Kokomo,Indiana,Electrical,127305000,162,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39367242161; source all-companies.csv).,0.0,2026-07-13T21:53:40.301223+00:00,2026-07-13T21:53:40.301223+00:00,,,,,,,Default,
Hypower,hypowerinc.com,www.hypowerinc.com,Fort Lauderdale,Florida,Electrical,97810000,400,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:54:40.132659+00:00,2026-07-13T21:54:40.132659+00:00,2027-01-09T21:54:40.132673+00:00,,,,,,Default,
I.B. Abel,ib-abel.com,www.ib-abel.com,York,Pennsylvania,Electrical,157860000,650,,Rejected,REJECT,State outside target geography: Pennsylvania,0.0,2026-07-13T21:53:26.594424+00:00,2026-07-13T21:53:26.594424+00:00,2027-01-09T21:53:26.594437+00:00,,,,,,Default,
IME,imelect.com,www.imelect.com,Aurora,Colorado,Electrical,166512000,425,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | excluded business-model evidence,28.0,2026-07-13T21:53:26.555502+00:00,2026-07-13T21:53:26.555502+00:00,2027-01-09T21:53:26.555516+00:00,,,,,,Default,
IT Landes,itlandes.com,www.itlandes.com,Harleysville,Pennsylvania,Plumbing,68619000,172,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56102792017; source all-companies.csv).,0.0,2026-07-13T21:43:29.444175+00:00,2026-07-13T21:43:29.444175+00:00,,,,,,,Default,
Industrial Electric,industelectric.com,www.industelectric.com,Indianapolis,Indiana,Electrical,66198000,201,,Rejected,REJECT,State outside target geography: Indiana,0.0,2026-07-13T21:57:50.519123+00:00,2026-07-13T21:57:50.519123+00:00,2027-01-09T21:57:50.519140+00:00,,,,,,Default,
Infinity Plumbing Designs,infinityplumbingdesigns.com,www.infinityplumbingdesigns.com,Corona,California,Plumbing,64974000,254,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39356001956; source all-companies.csv).,0.0,2026-07-13T21:43:40.209690+00:00,2026-07-13T21:43:40.209690+00:00,,,,,,,Default,
Intech Mechanical,intech-mech.com,www.intech-mech.com,Roseville,California,Plumbing,74148000,164,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:42:32.064710+00:00,2026-07-13T21:42:32.064710+00:00,2027-01-09T21:42:32.064722+00:00,,,,,,Default,
Integrated Facility Services,intfs.com,www.intfs.com,Fenton,Missouri,Plumbing,59504000,233,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55461232493; source all-companies.csv).,0.0,2026-07-13T21:46:18.149585+00:00,2026-07-13T21:46:18.149585+00:00,,,,,,,Default,
Interstate Electrical Services,iesc1.com,www.iesc1.com,Billerica,Massachusetts,Electrical,90437000,588,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39351974942; source all-companies.csv).,0.0,2026-07-13T21:54:40.219195+00:00,2026-07-13T21:54:40.219195+00:00,,,,,,,Default,
Interstate Mechanical,imcor-az.com,www.imcor-az.com,Phoenix,Arizona,Plumbing,99008000,330,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53548771384; source all-companies.csv).,0.0,2026-07-13T21:41:56.542267+00:00,2026-07-13T21:41:56.542267+00:00,,,,,,,Default,
Interstate Mechanical Contractors,interstatemechanical.com,www.interstatemechanical.com,Knoxville,Tennessee,Plumbing,95479000,150,,Rejected,REJECT,State outside target geography: Tennessee,0.0,2026-07-13T21:41:56.585207+00:00,2026-07-13T21:41:56.585207+00:00,2027-01-09T21:41:56.585220+00:00,,,,,,Default,
J A Lee Electric,jalee.us,www.jalee.us,Clifton,New Jersey,Electrical,70078000,122,,Rejected,REJECT,State outside target geography: New Jersey,0.0,2026-07-13T21:57:26.824392+00:00,2026-07-13T21:57:26.824392+00:00,2027-01-09T21:57:26.824404+00:00,,,,,,Default,
J.A. Croson,jacroson.com,www.jacroson.com,Sorrento,Florida,Plumbing,93403000,316,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:42:06.948096+00:00,2026-07-13T21:42:06.948096+00:00,2027-01-09T21:42:06.948107+00:00,,,,,,Default,
J.M. Electric,jmelectrical.com,www.jmelectrical.com,Lynnfield,Massachusetts,Electrical,91383000,74,,Rejected,REJECT,State outside target geography: Massachusetts,0.0,2026-07-13T21:54:40.212877+00:00,2026-07-13T21:54:40.212877+00:00,2027-01-09T21:54:40.212887+00:00,,,,,,Default,
"JBI Electrical Systems, Inc",jbielectric.com,www.jbielectric.com,Fort Worth,Texas,Electrical,72395000,222,,Rejected,REJECT,revenue $25M+ | target employee scale,28.0,2026-07-13T21:56:28.772553+00:00,2026-07-13T21:56:28.772553+00:00,2027-01-09T21:56:28.772564+00:00,,,,,,Default,
JH Kelly,jhkelly.com,www.jhkelly.com,Longview,Washington,Plumbing,299586000,830,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55509514835; source all-companies.csv).,0.0,2026-07-13T21:38:49.595268+00:00,2026-07-13T21:38:49.595268+00:00,,,,,,,Default,
JMEG,jmeg.us,www.jmeg.us,Farmers Branch,Texas,Electrical,125000000,827,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,34.0,2026-07-13T21:54:04.230505+00:00,2026-07-13T21:54:04.230505+00:00,2027-01-09T21:54:04.230518+00:00,,,,,,Default,
JRC Mechanical,jrcmechanical.com,www.jrcmechanical.com,Chesapeake,Virginia,Plumbing,60211000,275,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:44:44.144146+00:00,2026-07-13T21:44:44.144146+00:00,2027-01-09T21:44:44.144156+00:00,,,,,,Default,
JTI Electric,jtielectric.com,www.jtielectric.com,Valdosta,Georgia,Electrical,69903000,200,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:57:26.849553+00:00,2026-07-13T21:57:26.849553+00:00,2027-01-09T21:57:26.849567+00:00,,,,,,Default,
Jet Industries,jetindustries.net,www.jetindustries.net,Salem,Oregon,Electrical,263053000,361,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53547189616; source all-companies.csv).,0.0,2026-07-13T21:38:49.609072+00:00,2026-07-13T21:51:21.114742+00:00,,,,,,,Default,
Jon Wayne Service,jonwayne.com,www.jonwayne.com,San Antonio,Texas,Plumbing,48942000,166,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55012657829; source all-companies.csv).,0.0,2026-07-13T21:48:21.705182+00:00,2026-07-13T21:48:21.705182+00:00,,,,,,,Default,
K2 Electric,k2elec.com,www.k2elec.com,Phoenix,Arizona,Electrical,190958000,300,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39368174395; source all-companies.csv).,0.0,2026-07-13T21:52:26.898341+00:00,2026-07-13T21:52:26.898341+00:00,,,,,,,Default,
KelsoBurnett,kelso-burnett.com,www.kelso-burnett.com,Rolling Meadows,Illinois,Electrical,111708000,350,,Rejected,REJECT,State outside target geography: Illinois,0.0,2026-07-13T21:54:15.921492+00:00,2026-07-13T21:54:15.921492+00:00,2027-01-09T21:54:15.921506+00:00,,,,,,Default,
KenMor Electric,kenmor.com,www.kenmor.com,Houston,Texas,Electrical,220238000,346,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39368174397; source all-companies.csv).,0.0,2026-07-13T21:52:06.522446+00:00,2026-07-13T21:52:06.522446+00:00,,,,,,,Default,
Kenny Electric,kenny-electric.com,www.kenny-electric.com,Denver,Colorado,Electrical,73597000,324,,Rejected,REJECT,revenue $25M+ | target employee scale | current growth signals,34.0,2026-07-13T21:55:52.727175+00:00,2026-07-13T21:55:52.727175+00:00,2027-01-09T21:55:52.727190+00:00,,,,,,Default,
Kilgore Industries,kilgoreind.com,www.kilgoreind.com,Houston,Texas,Electrical,77437000,800,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53540237569; source all-companies.csv).,0.0,2026-07-13T21:42:17.672627+00:00,2026-07-13T21:55:23.969415+00:00,,,,,,,Default,
Kleenco Maintenance & Construction,kleencousa.com,www.kleencousa.com,Alexandria,Indiana,Plumbing,45153000,33,,Rejected,REJECT,State outside target geography: Indiana,0.0,2026-07-13T21:49:12.940264+00:00,2026-07-13T21:49:12.940264+00:00,2027-01-09T21:49:12.940278+00:00,,,,,,Default,
Knobelsdorff Electric,knobelsdorffenterprises.com,www.knobelsdorffenterprises.com,Goodhue,Minnesota,Electrical,318262000,500,,Rejected,REJECT,State outside target geography: Minnesota,0.0,2026-07-13T21:51:21.018695+00:00,2026-07-13T21:51:21.018695+00:00,2027-01-09T21:51:21.018709+00:00,,,,,,Default,
L&S Mechanical,lsmech.com,www.lsmech.com,Richardson,Texas,Plumbing,254610000,398,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39372398704; source all-companies.csv).,0.0,2026-07-13T21:38:49.615707+00:00,2026-07-13T21:38:49.615707+00:00,,,,,,,Default,
LEGACY Power,legacypower.com,www.legacypower.com,Burley,Washington,Electrical,96752000,152,,Rejected,REJECT,State outside target geography: Washington,0.0,2026-07-13T21:54:40.145990+00:00,2026-07-13T21:54:40.145990+00:00,2027-01-09T21:54:40.146002+00:00,,,,,,Default,
Lake Erie Electric,lakeerieelectric.com,www.lakeerieelectric.com,Plain City,Ohio,Electrical,126491000,519,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39397378329; source all-companies.csv).,0.0,2026-07-13T21:53:40.360664+00:00,2026-07-13T21:53:40.360664+00:00,,,,,,,Default,
Lawn Doctor,lawndoctor.com,www.lawndoctor.com,Holmdel,New Jersey,Pest Control,118000000,400,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56468290092; source all-companies.csv).,0.0,2026-07-13T22:02:54.188247+00:00,2026-07-13T22:02:54.188247+00:00,,,,,,,Default,
Lawson Electric,lawsonelectric.com,www.lawsonelectric.com,Chattanooga,Tennessee,Electrical,115867000,419,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39351662934; source all-companies.csv).,0.0,2026-07-13T21:54:13.458991+00:00,2026-07-13T21:54:13.458991+00:00,,,,,,,Default,
Len The Plumber,lentheplumber.com,www.lentheplumber.com,Baltimore,Maryland,Plumbing,74106000,120,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 31903416922; source all-companies.csv).,0.0,2026-07-13T21:42:32.071496+00:00,2026-07-13T21:42:32.071496+00:00,,,,,,,Default,
Lighthouse Electric,lighthouseelectric.com,www.lighthouseelectric.com,Canonsburg,Pennsylvania,Electrical,254816000,300,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39353520441; source all-companies.csv).,0.0,2026-07-13T21:51:21.120827+00:00,2026-07-13T21:51:21.120827+00:00,,,,,,,Default,
Lloyd Pest Control,lloydpest.com,www.lloydpest.com,San Diego,California,Pest Control,63777000,296,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T22:03:06.485562+00:00,2026-07-13T22:03:06.485562+00:00,2027-01-09T22:03:06.485583+00:00,,,,,,Default,
MAXAIR Mechanical,maxairmech.com,www.maxairmech.com,Marietta,Georgia,Plumbing,250791000,394,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53552491615; source all-companies.csv).,0.0,2026-07-13T21:38:49.629806+00:00,2026-07-13T21:38:49.629806+00:00,,,,,,,Default,
MB Haynes Corporation,mbhaynes.com,www.mbhaynes.com,Asheville,North Carolina,Plumbing,129238000,500,,Rejected,REJECT,State outside target geography: North Carolina,0.0,2026-07-13T21:40:39.485439+00:00,2026-07-13T21:40:39.485439+00:00,2027-01-09T21:40:39.485453+00:00,,,,,,Default,
MDavis,mdavisinc.com,www.mdavisinc.com,Wilmington,Delaware,Electrical,94355000,388,,Rejected,REJECT,State outside target geography: Delaware,0.0,2026-07-13T21:54:40.194624+00:00,2026-07-13T21:54:40.194624+00:00,2027-01-09T21:54:40.194637+00:00,,,,,,Default,
MKD Electric,mkdelectric.com,www.mkdelectric.com,Elgin,Illinois,Electrical,169952000,267,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39355227464; source all-companies.csv).,0.0,2026-07-13T21:53:14.474016+00:00,2026-07-13T21:53:14.474016+00:00,,,,,,,Default,
MLN Company,mlncompany.com,www.mlncompany.com,Stafford,Texas,Plumbing,95478000,211,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,31.0,2026-07-13T21:42:06.923535+00:00,2026-07-13T21:42:06.923535+00:00,2027-01-09T21:42:06.923550+00:00,,,,,,Default,
MacCormack Plumbing,maccormackplumbing.com,www.maccormackplumbing.com,Billerica,Massachusetts,Plumbing,52813000,229,,Rejected,REJECT,State outside target geography: Massachusetts,0.0,2026-07-13T21:46:39.353335+00:00,2026-07-13T21:46:39.353335+00:00,2027-01-09T21:46:39.353349+00:00,,,,,,Default,
Maccarone Plumbing,maccaroneplumbing.com,www.maccaroneplumbing.com,Glen Cove,New York,Plumbing,62205000,261,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56104641864; source all-companies.csv).,0.0,2026-07-13T21:43:40.298501+00:00,2026-07-13T21:43:40.298501+00:00,,,,,,,Default,
Magnolia Plumbing,magnoliacommercial.com,www.magnoliacommercial.com,Washington,District of Columbia,Plumbing,88844000,314,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 31857581171; source all-companies.csv).,0.0,2026-07-13T21:42:17.534295+00:00,2026-07-13T21:42:17.534295+00:00,,,,,,,Default,
Maintenx,maintenx.com,www.maintenx.com,Tampa,Florida,Plumbing,62165000,287,,Rejected,REJECT,State outside target geography: Florida,0.0,2026-07-13T21:43:40.326568+00:00,2026-07-13T21:43:40.326568+00:00,2027-01-09T21:43:40.326579+00:00,,,,,,Default,
Marathon Electrical Contractors,marathonelectrical.com,www.marathonelectrical.com,Irondale,Alabama,Electrical,139843000,600,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39367704351; source all-companies.csv).,0.0,2026-07-13T21:53:40.206848+00:00,2026-07-13T21:53:40.206848+00:00,,,,,,,Default,
Mark III Construction,mark-three.com,www.mark-three.com,Sacramento,California,Plumbing,65192000,327,,Rejected,REJECT,State outside target geography: California,0.0,2026-07-13T21:43:40.185527+00:00,2026-07-13T21:43:40.185527+00:00,2027-01-09T21:43:40.185543+00:00,,,,,,Default,
Matco Electric,matcoelectric.com,www.matcoelectric.com,Vestal,New York,Electrical,191197000,638,,Rejected,REJECT,State outside target geography: New York,0.0,2026-07-13T21:52:26.877765+00:00,2026-07-13T21:52:26.877765+00:00,2027-01-09T21:52:26.877777+00:00,,,,,,Default,
McKamish,mckamish.com,www.mckamish.com,Pittsburgh,Pennsylvania,Plumbing,156416000,252,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 53533619779; source all-companies.csv).,0.0,2026-07-13T21:40:03.681617+00:00,2026-07-13T21:40:03.681617+00:00,,,,,,,Default,
McPhee Electric,mcpheeelectric.com,www.mcpheeelectric.com,Charlotte,Michigan,Electrical,69051000,141,,Rejected,REJECT,State outside target geography: Michigan,0.0,2026-07-13T21:57:26.873552+00:00,2026-07-13T21:57:26.873552+00:00,2027-01-09T21:57:26.873566+00:00,,,,,,Default,
Mechanical Systems,msystemscompany.com,www.msystemscompany.com,Memphis,Tennessee,Plumbing,80202000,126,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39366318881; source all-companies.csv).,0.0,2026-07-13T21:42:17.637671+00:00,2026-07-13T21:42:17.637671+00:00,,,,,,,Default,
Meisner Electric,meisnerelectric.com,www.meisnerelectric.com,Boca Raton,Florida,Electrical,69025000,271,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39356312954; source all-companies.csv).,0.0,2026-07-13T21:57:26.888599+00:00,2026-07-13T21:57:26.888599+00:00,,,,,,,Default,
MetroPower,metropower.com,www.metropower.com,Albany,Georgia,Electrical,89459000,830,,Rejected,REJECT,State outside target geography: Georgia,0.0,2026-07-13T21:54:40.242564+00:00,2026-07-13T21:54:40.242564+00:00,2027-01-09T21:54:40.242578+00:00,,,,,,Default,
Midwestern Mechanical,midwesternmechanical.com,www.midwesternmechanical.com,Sioux Falls,South Dakota,Plumbing,62067000,274,,Rejected,REJECT,State outside target geography: South Dakota,0.0,2026-07-13T21:43:40.339993+00:00,2026-07-13T21:43:40.339993+00:00,2027-01-09T21:43:40.340004+00:00,,,,,,Default,
Mikoma Electric,mikomaelectric.com,www.mikomaelectric.com,Staten Island,New York,Electrical,98908000,435,,Rejected,REJECT,State outside target geography: New York,0.0,2026-07-13T21:54:40.120294+00:00,2026-07-13T21:54:40.120294+00:00,2027-01-09T21:54:40.120308+00:00,,,,,,Default,
Mister Sparky,mistersparky.com,www.mistersparky.com,Phoenix,Arizona,Plumbing,50026000,409,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals,89.0,2026-07-13T21:47:35.693329+00:00,2026-07-13T21:47:35.693329+00:00,,,,,,,Default,
Modern Mechanical,modernmec.com,www.modernmec.com,Ashburn,Virginia,Plumbing,108846000,92,,Rejected,REJECT,State outside target geography: Virginia,0.0,2026-07-13T21:40:54.750770+00:00,2026-07-13T21:40:54.750770+00:00,2027-01-09T21:40:54.750799+00:00,,,,,,Default,
Mona Electric Group,,,Clinton,Maryland,Electrical,388540000,454,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T21:51:20.928006+00:00,2026-07-13T21:51:20.928006+00:00,2027-01-09T21:51:20.928019+00:00,,,,,,Default,
Moore's Electrical & Mechanical,mooreselectric.com,www.mooreselectric.com,Altavista,Virginia,Electrical,73425000,622,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39344091763; source all-companies.csv).,0.0,2026-07-13T21:55:52.735450+00:00,2026-07-13T21:55:52.735450+00:00,,,,,,,Default,
Morley Moss,morleymoss.com,www.morleymoss.com,Sunnyvale,Texas,Electrical,148310000,230,,Rejected,REJECT,revenue $25M+ | target employee scale | current growth signals,34.0,2026-07-13T21:53:40.175366+00:00,2026-07-13T21:53:40.175366+00:00,2027-01-09T21:53:40.175378+00:00,,,,,,Default,
Morris-Jenkins,morrisjenkins.com,www.morrisjenkins.com,Charlotte,North Carolina,Plumbing,65292000,280,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55078542145; source all-companies.csv).,0.0,2026-07-13T21:43:40.173458+00:00,2026-07-13T21:43:40.173458+00:00,,,,,,,Default,
Motor City Electric,mceco.com,www.mceco.com,Detroit,Michigan,Electrical,455000000,450,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39356156160; source all-companies.csv).,0.0,2026-07-13T21:50:58.525540+00:00,2026-07-13T21:50:58.525540+00:00,,,,,,,Default,
Multi-Craft Contractors,multi-craft.net,www.multi-craft.net,Springdale,Arkansas,Plumbing,445566000,649,,Rejected,REJECT,State outside target geography: Arkansas,0.0,2026-07-13T21:38:49.525945+00:00,2026-07-13T21:38:49.525945+00:00,2027-01-09T21:38:49.525963+00:00,,,,,,Default,
Mustang Plumbing,mustangplumbingrr.com,www.mustangplumbingrr.com,Round Rock,Texas,Plumbing,169952000,267,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 54034628216; source all-companies.csv).,0.0,2026-07-13T21:40:03.626516+00:00,2026-07-13T21:40:03.626516+00:00,,,,,,,Default,
Muth Electric,muthelectric.com,www.muthelectric.com,Mitchell,South Dakota,Electrical,188020000,396,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39402455146; source all-companies.csv).,0.0,2026-07-13T21:52:26.947547+00:00,2026-07-13T21:52:26.947547+00:00,,,,,,,Default,
NAC,nac-hvac.com,www.nac-hvac.com,Vadnais Heights,Minnesota,Plumbing,208780000,328,,Rejected,REJECT,State outside target geography: Minnesota,0.0,2026-07-13T21:38:49.656210+00:00,2026-07-13T21:38:49.656210+00:00,2027-01-09T21:38:49.656228+00:00,,,,,,Default,
NEXT Electric,nextelectricllc.com,www.nextelectricllc.com,Waukesha,Wisconsin,Electrical,100920000,268,,Rejected,REJECT,State outside target geography: Wisconsin,0.0,2026-07-13T21:54:40.106725+00:00,2026-07-13T21:54:40.106725+00:00,2027-01-09T21:54:40.106739+00:00,,,,,,Default,
NOARK Electric,noark-electric.eu,www.noark-electric.eu,Prague,Oklahoma,Electrical,213714000,972,,Rejected,REJECT,official-site residential home-service evidence | revenue $25M+ | target employee scale | current growth signals | excluded business-model evidence,37.0,2026-07-13T21:52:26.825620+00:00,2026-07-13T21:52:26.825620+00:00,2027-01-09T21:52:26.825632+00:00,,,,,,Default,
NP Mechanical,npmechanicalinc.net,www.npmechanicalinc.net,Corona,California,Plumbing,67528000,411,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 56197715735; source all-companies.csv).,0.0,2026-07-13T21:43:40.142607+00:00,2026-07-13T21:43:40.142607+00:00,,,,,,,Default,
National HVAC Service,nationalhvacservice.com,www.nationalhvacservice.com,Nashville,Tennessee,Plumbing,69586000,435,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55165787972; source all-companies.csv).,0.0,2026-07-13T21:42:46.146620+00:00,2026-07-13T21:42:46.146620+00:00,,,,,,,Default,
NaturaLawn,naturalawn.com,www.naturalawn.com,Frederick,Maryland,Pest Control,145777000,395,,Rejected,REJECT,State outside target geography: Maryland,0.0,2026-07-13T22:02:09.549150+00:00,2026-07-13T22:02:09.549150+00:00,2027-01-09T22:02:09.549159+00:00,,,,,,Default,
Neal Electric,nealelectric.com,www.nealelectric.com,Carlsbad,California,Electrical,78752000,368,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 39355227470; source all-companies.csv).,0.0,2026-07-13T21:55:11.614500+00:00,2026-07-13T21:55:11.614500+00:00,,,,,,,Default,
NearU,nearu-services.com,www.nearu-services.com,Charlotte,North Carolina,Electrical,210052000,1000,,Synced to HubSpot,REJECT,Already exists in imported HubSpot company index (Exact normalized company name; record 55846004902; source all-companies.csv).,0.0,2026-07-13T21:38:49.643762+00:00,2026-07-13T21:52:26.831704+00:00,,,,,,,Default,
New Electric,newelectricaz.com,www.newelectricaz.com,Phoenix,Arizona,Electrical,65297000,111,,Qualified,ACCEPT,official-site residential home-service evidence | revenue $25M+ | target employee scale,83.0,2026-07-13T21:58:02.715568+00:00,2026-07-13T21:58:02.715568+00:00,,,,,,,Default,
